"ID"	"POP"	"TISSUE"	"STAGE"	"LON"	"AMP"	"MONTH"	"YEAR"	"SALINITY"	"SAMPLING"	"ORGANISM"
"1"	"BAR103B"	"BAR"	"GILL"	"JUV"	"23.7"	"19.0"	"APR"	2020	36	2	S
"2"	"BAR103D"	"BAR"	"DIGESTIVE"	"JUV"	"23.7"	"19.0"	"APR"	2020	36	2	S
"3"	"BAR108B"	"BAR"	"GILL"	"JUV"	"19.8"	"14.8"	"APR"	2020	36	2	S
"4"	"BAR108D"	"BAR"	"DIGESTIVE"	"JUV"	"19.8"	"14.8"	"APR"	2020	36	2	S
"5"	"BAR108T"	"BAR"	"TUNIC"	"JUV"	"19.8"	"14.8"	"APR"	2020	36	2	S
"6"	"BAR109B"	"BAR"	"GILL"	"JUV"	"23.9"	"16.5"	"APR"	2020	36	2	S
"7"	"BAR109D"	"BAR"	"DIGESTIVE"	"JUV"	"23.9"	"16.5"	"APR"	2020	36	2	S
"8"	"BAR109T"	"BAR"	"TUNIC"	"JUV"	"23.9"	"16.5"	"APR"	2020	36	2	S
"9"	"BAR111B"	"BAR"	"GILL"	"JUV"	"20.2"	"16.1"	"APR"	2020	36	2	S
"10"	"BAR111D"	"BAR"	"DIGESTIVE"	"JUV"	"20.2"	"16.1"	"APR"	2020	36	2	S
"11"	"BAR111T"	"BAR"	"TUNIC"	"JUV"	"20.2"	"16.1"	"APR"	2020	36	2	S
"12"	"BAR115B"	"BAR"	"GILL"	"JUV"	"19.1"	"13.9"	"APR"	2020	36	2	S
"13"	"BAR115D"	"BAR"	"DIGESTIVE"	"JUV"	"19.1"	"13.9"	"APR"	2020	36	2	S
"14"	"BAR115T"	"BAR"	"TUNIC"	"JUV"	"19.1"	"13.9"	"APR"	2020	36	2	S
"15"	"BAR81B"	"BAR"	"GILL"	"ADULT"	"62.0"	"34.1"	"APR"	2020	36	2	S
"16"	"BAR81D"	"BAR"	"DIGESTIVE"	"ADULT"	"62.0"	"34.1"	"APR"	2020	36	2	S
"17"	"BAR81T"	"BAR"	"TUNIC"	"ADULT"	"62.0"	"34.1"	"APR"	2020	36	2	S
"18"	"BAR82B"	"BAR"	"GILL"	"ADULT"	"49.9"	"40.9"	"APR"	2020	36	2	S
"19"	"BAR82D"	"BAR"	"DIGESTIVE"	"ADULT"	"49.9"	"40.9"	"APR"	2020	36	2	S
"20"	"BAR82T"	"BAR"	"TUNIC"	"ADULT"	"49.9"	"40.9"	"APR"	2020	36	2	S
"21"	"BAR85B"	"BAR"	"GILL"	"ADULT"	"54.0"	"40.5"	"APR"	2020	36	2	S
"22"	"BAR85D"	"BAR"	"DIGESTIVE"	"ADULT"	"54.0"	"40.5"	"APR"	2020	36	2	S
"23"	"BAR85T"	"BAR"	"TUNIC"	"ADULT"	"54.0"	"40.5"	"APR"	2020	36	2	S
"24"	"BAR86B"	"BAR"	"GILL"	"ADULT"	"55.0"	"36.4"	"APR"	2020	36	2	S
